# Shared Sale/Stock fixtures — docs/PHASE_GUIDE.md Step 37.
#
# Android is Kotlin and the backend is TypeScript, so the code is not shared.
# This file is. Both sides read THIS file and must produce the same numbers:
#   android/app/src/test/java/com/hisab/app/domain/SharedFixtureTest.kt
#   server/src/domain/sharedFixture.test.ts
# A fixture added here is run by both automatically — neither side can quietly
# drift, and neither can pass by keeping its own private copy of the numbers.
#
# Format: tab-separated. Blank lines and lines starting with # are ignored.
#   field 0  kind
#   field 1  label (what the case is about, in words)
#   field 2  input
#   field 3+ expected value(s)
#
# Inputs use ";" between entries and ":" inside one entry. "-" means "empty".
#
# Units, everywhere (CLAUDE.md, DECISIONS.md D019):
#   money    integer poisha        1 BDT = 100 poisha, so 50 BDT = 5000
#   quantity integer scaled x1000  1 piece = 1000, 0.5 kg = 500

# ---------------------------------------------------------------------------
# calculateLineTotal: quantityScaled:unitPricePoisha -> lineTotalPoisha
#
#   lineTotal = quantityScaled * unitPricePoisha / 1000
#
# The division is where a line total can land between two poisha. It is
# resolved by rounding half AWAY FROM ZERO, so that reversing a line gives
# back exactly what the line charged (see the paired +/- 1.25 kg cases below).
# ---------------------------------------------------------------------------
line_total	the Step 37 example: 3 pieces at 50 taka	3000:5000	15000
line_total	half a kg of sugar at 120 taka a kg	500:12000	6000
line_total	2.5 litre of oil at 78 taka a litre	2500:7800	19500
line_total	a free item still has a line	3000:0	0
line_total	nothing of something costs nothing	0:5000	0
line_total	1.25 kg at 90.50 taka lands on half a poisha and rounds up	1250:9050	11313
line_total	the same line reversed rounds the same way, so it cancels exactly	-1250:9050	-11313
line_total	333 grams at 1 taka a kg rounds down	333:100	33
line_total	a reversed sale line is negative	-3000:5000	-15000

# ---------------------------------------------------------------------------
# calculateSaleTotal: qty:price;qty:price;... -> saleTotalPoisha
# ---------------------------------------------------------------------------
sale_total	3 pieces at 50 plus 2 at 25	3000:5000;2000:2500	20000
sale_total	an empty cart totals nothing	-	0
sale_total	one line only	3000:5000	15000
sale_total	each line is rounded on its own, then the lines are added	1250:9050;1250:9050	22626
sale_total	a mixed basket with two roundings	1250:9050;500:12000;333:100	17346
sale_total	a whole reversed sale is the negative of the sale	-3000:5000;-2000:2500	-20000

# ---------------------------------------------------------------------------
# calculateCurrentStock: movementType:quantityDelta;... -> currentStockScaled
#
# Current stock is never stored. It is the sum of the movements (D002, D020).
# ---------------------------------------------------------------------------
stock_balance	restock 10, sell 3, restock 2	restock:10000;sale:-3000;restock:2000	9000
stock_balance	a product with no movements yet has no stock	-	0
stock_balance	a damaged bottle and a customer return	restock:5000;damage:-1000;return:500	4500
stock_balance	stock that was sold before it was ever recorded goes negative	restock:2000;sale:-5000	-3000
stock_balance	a shelf count that found less than the ledger said	restock:10000;correction:-1500	8500
stock_balance	selling everything leaves exactly nothing	restock:4000;sale:-4000	0

# ---------------------------------------------------------------------------
# correctStock: countedScaled:recordedScaled -> quantityDeltaScaled
#
# A correction is a shelf count, not a free-typed number: the shopkeeper says
# what is actually there, and the ledger records the difference.
# ---------------------------------------------------------------------------
correction	the shelf holds less than the ledger said	8500:10000	-1500
correction	the shelf holds more than the ledger said	12000:10000	2000
correction	the count agrees, so nothing moved	10000:10000	0
correction	counting an empty shelf the ledger thought was full	0:3000	-3000

# ---------------------------------------------------------------------------
# completeCreditSale: qty:price;... -> saleTotalPoisha, bakiDeltaPoisha
#
# A credit sale owes exactly what it totalled — the baki entry is the total,
# never a separately typed amount.
# ---------------------------------------------------------------------------
credit_sale	3 pieces at 50 plus 2 at 25, all on baki	3000:5000;2000:2500	20000	20000
credit_sale	one line on baki	500:12000	6000	6000

# ---------------------------------------------------------------------------
# reverseSale (credit): qty:price;... ->
#     reversalSaleTotalPoisha, stockReturnedScaled, bakiDeltaPoisha
#
# All three move together or not at all (D021).
# ---------------------------------------------------------------------------
reversal	reversing a credit sale undoes money, stock and baki together	3000:5000;2000:2500	-20000	5000	-20000
reversal	reversing a rounded line gives back exactly what it charged	1250:9050	-11313	1250	-11313
